model,endpoint,n,mae_log10_pm,rmse_log10_pm,geometric_fold_error,pearson_r,spearman_rho,r_squared
median,GCGR log10 EC50 (pM),125,1.5036822984090688,1.945493634208503,31.892039873811076,-0.556911139851678,-0.5973230450893972,-0.6928763191167218
median,GLP-1R log10 EC50 (pM),125,1.5352386548247692,1.7527773676730798,34.295619710640416,-0.2767420883048147,-0.2728925576450179,-0.4034460077088311
median,selectivity log10 ratio,125,1.3746018872753538,1.6775822825445228,23.69200890883318,0.1877335099130934,0.2876549008089516,-0.3386507747891532
nn,GCGR log10 EC50 (pM),125,0.7687827351016461,1.1191588765557035,5.871955221966534,0.7099488782367112,0.670928760560818,0.4397922805107598
nn,GLP-1R log10 EC50 (pM),125,1.177839122708687,1.4676578408183427,15.060490715842828,0.5154676936605199,0.4642572543833096,0.0160073965472326
nn,selectivity log10 ratio,125,1.0948322102545507,1.3275130696412538,12.440338862139345,0.5515559415767951,0.5758501220144654,0.1617428950235693
