model,endpoint,n,mae_log10_pm,component_macro_mae_log10_pm,rmse_log10_pm,geometric_fold_error,pearson_r,spearman_rho,r_squared
nn,GCGR log10 EC50 (pM),125,0.7687827351016461,0.6380331856673797,1.1191588765557035,5.871955221966534,0.7099488782367112,0.670928760560818,0.4397922805107598
nn,GLP-1R log10 EC50 (pM),125,1.177839122708687,1.0796795663811949,1.4676578408183427,15.060490715842828,0.5154676936605199,0.4642572543833096,0.0160073965472326
nn,selectivity log10 ratio,125,1.0948322102545507,0.8951368264494041,1.3275130696412538,12.440338862139345,0.5515559415767951,0.5758501220144654,0.1617428950235693
ridge,GCGR log10 EC50 (pM),125,0.6266288948693587,0.6115218852732901,0.8458460706389159,4.23281117273472,0.8701814048949627,0.7395466574255684,0.6800012558111284
ridge,GLP-1R log10 EC50 (pM),125,1.0695780120593172,1.1891200126253016,1.3749155583242259,11.737565047381793,0.5107588090612061,0.5758268969708659,0.13643655830770862
ridge,selectivity log10 ratio,125,1.1357306936819258,1.0174352685928372,1.424913341940377,13.668809588838407,0.5342021106105699,0.5377211822558988,0.03422371256044243
