panel,row_type,peptide_id,cluster_id,outer_fold,endpoint,model,actual_log10,predicted_log10,pooled_mae_log10,spearman_rho,r_squared,ridge_mae_log10,nn_mae_log10,mae_delta_log10,ci_lower,ci_upper,confidence_level,bootstrap_resamples,bootstrap_seed
A,oof_prediction,seq_pep1,SC002,2,GCGR,component_weighted_ridge,0.5740312677277188,2.0788981995749802,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep10,SC005,3,GCGR,component_weighted_ridge,0.8188854145940099,1.9030303284034196,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep100,SC001,1,GCGR,component_weighted_ridge,4.462397997898956,4.277421794616902,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep101,SC001,1,GCGR,component_weighted_ridge,4.146128035678238,4.328425684560699,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep102,SC001,1,GCGR,component_weighted_ridge,4.445604203273597,4.295985992735821,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep103,SC001,1,GCGR,component_weighted_ridge,4.515873843711679,4.3782004683889255,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep104,SC001,1,GCGR,component_weighted_ridge,4.472756449317212,4.212067735190936,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep105,SC001,1,GCGR,component_weighted_ridge,4.376576957056512,4.295985992735821,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep106,SC001,1,GCGR,component_weighted_ridge,4.550228353055094,4.839485072604238,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep107,SC001,1,GCGR,component_weighted_ridge,4.56466606425209,4.583347014562699,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep108,SC001,1,GCGR,component_weighted_ridge,4.463892988985907,4.245852299690039,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep109,SC001,1,GCGR,component_weighted_ridge,4.392696953259666,4.262892708804044,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep11,SC005,3,GCGR,component_weighted_ridge,0.6730209071288962,1.9030303284034196,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep110,SC001,1,GCGR,component_weighted_ridge,4.465382851448418,4.100987170687069,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep111,SC001,1,GCGR,component_weighted_ridge,4.267171728403014,4.101334504401608,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep112,SC001,1,GCGR,component_weighted_ridge,4.401400540781544,4.133589404178889,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep113,SC001,1,GCGR,component_weighted_ridge,4.086359830674748,4.13324207046435,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep114,SC001,1,GCGR,component_weighted_ridge,4.344392273685111,3.9806812466012778,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep115,SC001,1,GCGR,component_weighted_ridge,4.3979400086720375,3.981028580315817,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep116,SC001,1,GCGR,component_weighted_ridge,4.008600171761918,3.5646331991570865,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep117,SC001,1,GCGR,component_weighted_ridge,3.967547976218862,3.712731457077212,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep118,SC010,3,GCGR,component_weighted_ridge,1.7126497016272113,1.9212303553835905,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep119,SC011,2,GCGR,component_weighted_ridge,4.457881896733992,3.3300895799377574,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep12,SC005,3,GCGR,component_weighted_ridge,2.6384892569546374,2.0774716158791193,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep120,SC012,3,GCGR,component_weighted_ridge,4.418301291319746,4.67073786994502,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep121,SC007,2,GCGR,component_weighted_ridge,4.462397997898956,3.9676235110372557,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep122,SC007,2,GCGR,component_weighted_ridge,4.468347330412158,3.815903312324136,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep123,SC007,2,GCGR,component_weighted_ridge,4.469822015978163,4.169291640898773,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep124,SC013,1,GCGR,component_weighted_ridge,4.465382851448418,4.285015758339695,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep125,SC014,2,GCGR,component_weighted_ridge,3.0453229787866576,3.4879125024906097,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep13,SC005,3,GCGR,component_weighted_ridge,1.4668676203541096,1.9090245190103214,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep14,SC004,3,GCGR,component_weighted_ridge,4.447158031342219,3.9519898476134214,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep15,SC004,3,GCGR,component_weighted_ridge,4.392696953259666,3.9519898476134214,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep16,SC004,3,GCGR,component_weighted_ridge,4.450249108319361,3.9519898476134214,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep17,SC004,3,GCGR,component_weighted_ridge,4.4031205211758175,3.9519898476134214,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep18,SC004,3,GCGR,component_weighted_ridge,4.47567118832443,3.9519898476134214,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep19,SC004,3,GCGR,component_weighted_ridge,4.371067862271737,4.035013665120651,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep2,SC002,2,GCGR,component_weighted_ridge,1.2671717284030137,1.8244354326794616,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep20,SC004,3,GCGR,component_weighted_ridge,4.399673721481038,4.035013665120651,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep21,SC004,3,GCGR,component_weighted_ridge,4.41161970596323,4.0703282761592705,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep22,SC004,3,GCGR,component_weighted_ridge,3.2121876044039577,4.035013665120651,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep23,SC004,3,GCGR,component_weighted_ridge,4.4281347940287885,4.035013665120651,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep24,SC006,3,GCGR,component_weighted_ridge,4.184691430817598,3.5673747314935516,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep25,SC015,3,GCGR,component_weighted_ridge,3.8959747323590643,3.657963356749973,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep26,SC006,3,GCGR,component_weighted_ridge,2.783903579272735,3.549505528512335,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep27,SC016,1,GCGR,component_weighted_ridge,3.3096301674258988,3.175586014486132,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep28,SC001,1,GCGR,component_weighted_ridge,4.421603926869831,4.255437208023558,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep29,SC003,3,GCGR,component_weighted_ridge,4.326335860928752,3.0521665287064526,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep3,SC002,2,GCGR,component_weighted_ridge,0.5453071164658241,1.6572827309509488,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep30,SC003,3,GCGR,component_weighted_ridge,4.318063334962762,4.122578790121712,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep31,SC003,3,GCGR,component_weighted_ridge,4.383815365980431,3.530933344473464,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep32,SC003,3,GCGR,component_weighted_ridge,4.161368002234975,4.1350890886910205,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep33,SC003,3,GCGR,component_weighted_ridge,4.324282455297693,4.127789678756471,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep34,SC003,3,GCGR,component_weighted_ridge,3.45178643552429,3.7346254272470594,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep35,SC003,3,GCGR,component_weighted_ridge,4.348304863048161,4.044814540753261,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep36,SC003,3,GCGR,component_weighted_ridge,4.292256071356476,3.7330051614750994,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep37,SC003,3,GCGR,component_weighted_ridge,4.303196057420489,3.5932555747085715,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep38,SC003,3,GCGR,component_weighted_ridge,3.4345689040341987,3.6380313435023686,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep39,SC003,3,GCGR,component_weighted_ridge,4.294466226161593,3.9920740900826095,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep4,SC002,2,GCGR,component_weighted_ridge,1.7032913781186614,2.219131327341896,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
A,oof_prediction,seq_pep40,SC003,3,GCGR,component_weighted_ridge,4.326335860928752,3.9920740900826095,0.6266288948693587,0.7395466574255684,0.6800012558111284,,,,,,,,
